cod_imovel;date;corrected_date;mean_ndvi
PR-4119905-D4CCA79FF91D4836B9BDACDA6112E362;20230504;04/05/2023;0.1194649776412693
PR-4119905-87CCC2DFEF7243AB9A1FBF07B41AF66C;20230504;04/05/2023;0.1207147994614192
PR-4119905-C068B98ED94442B1A66EA4FDE55655AF;20230504;04/05/2023;0.1207586360121669
PR-4119905-7D0896911A2549E2BA83793DBD5B44C1;20230504;08/03/2023;0.1209517377247257
PR-4119905-FFCE0A408CC9485783073C4C5B670F48;20230504;04/05/2023;0.1221502829031424
PR-4119905-E8589BD5ED8D4F9EBE0868618348E38A;20230504;17/07/2023;0.1233484464343833
PR-4119905-DF4AE25C19C1438CAA02C589E2857FBB;20230504;04/05/2023;0.1235531695906637
PR-4119905-73E7E4FA0D70472CB20F69431185B44E;20230504;04/05/2023;0.1241930720444999
PR-4119905-F7932FB2E141453D958485EEBA7B2A7D;20230504;04/05/2023;0.1257641219253213
PR-4119905-665CDB69A70D489EA579FA503167EEF0;20230504;02/07/2023;0.1258420366439878
PR-4119905-5F4C3EA00CD348FFBA7837C5CD2B7FD7;20230308;08/03/2023;0.1263858057956441
PR-4119905-5D018760D9A64B9C9FE2A61EEFCE47F4;20230504;08/03/2023;0.1265185397476689
PR-4119905-A67FF52F5B344F1D9D253E00FA2AFA93;20230504;04/05/2023;0.1277125220538696
PR-4119905-BF0FF1296FDC43119FFA9919E0E40662;20230504;04/05/2023;0.1288736954052718
PR-4119905-06F9B36019244E06B28A2EE4F6FC0653;20230504;04/05/2023;0.1290995414859767
PR-4119905-EC421F1396724A7B96CAF5658BAE69D5;20230504;10/01/2023;0.1305737091964308
PR-4119905-B47F3BD1910D42B193D7897E5BC958C2;20230504;04/05/2023;0.1315762134403288
PR-4119905-EE0E9DF0ABDE49EC83B4C4465208B03E;20230504;04/05/2023;0.1318720475158622
PR-4119905-1C4ED46E34FA4D48ACDBBC38E44CE4C3;20230504;04/05/2023;0.1330969176091195
PR-4119905-E7B286BE496349C6BE76B24423DFFF7B;20230504;08/03/2023;0.1341098397192582
PR-4119905-E57B33E1211F4721BCBCDFFC84A775B9;20230504;09/03/2023;0.1343668066086277
PR-4119905-7D67AABED68C418EBD840365CAFB99D4;20230504;04/05/2023;0.1355704837670253
PR-4119905-F7387CA9E90C40E986BE2EDE23964EEA;20230504;04/05/2023;0.1363053548208216
PR-4119905-8AC412998E9943F6BF69E7AC48AA8C67;20230504;04/05/2023;0.1365996231831321
PR-4119905-DDA025B20A3E408682B3129AF3A54815;20230504;04/05/2023;0.136602929805441
PR-4119905-697CD0EB70B640EAB169A9B86194DAA9;20230504;04/05/2023;0.1382935113593715
PR-4119905-5EF108A6E29940079A04536B3F6105A6;20230504;04/05/2023;0.1387760772816243
PR-4119905-B0548976AE5B4CAFB36B7EE20CD9EADB;20230504;04/05/2023;0.1395959899632493
PR-4119905-83A27A2ECED34183B8D51B8DC4A9E927;20230504;04/05/2023;0.1399839472465758
PR-4119905-C10DC14CF5164A8EBE6915D3D55B0731;20230504;04/05/2023;0.1400385692486355
PR-4119905-A2BFBD4EE1C04F55A365ED448F0DB6FC;20230504;04/05/2023;0.1400649556138862
PR-4119905-BDEB628851124CE9A74D6C8F98EC700C;20230504;04/05/2023;0.140645627102428
PR-4119905-CBD5AF32CD2C4092A9D05046A980CE2E;20230504;04/05/2023;0.1406539836481188
PR-4119905-3C0515C2096748919861A05F46BF2CAC;20230504;04/05/2023;0.1411047360793839
RS-4318002-9FF3A292B5D648E798A35AF4C3A8A2B4;20230629;04/05/2023;0.14150503023847708
PR-4119905-CBDB7428E7D9445EA8E902BFED94E3E7;20230504;04/05/2023;0.1417658305639198
PR-4119905-4B6281DC76054CD4A8ED6266264E2A26;20230504;04/05/2023;0.1419644536429377
PR-4119905-D3A14495993240DEAF6CECBAFEEB24BB;20230504;04/05/2023;0.1420649937013877
PR-4119905-89DACD72795944CA893539503996FC81;20230504;04/05/2023;0.1423617878898409
PR-4119905-896BBB5D268647E6999B34B73B0754AF;20230504;04/05/2023;0.1426218256974958
PR-4119905-A29D8B57C1DC461FA88B31CFE81B1713;20230308;19/07/2023;0.1428074260017902
PR-4119905-896BBB5D268647E6999B34B73B0754AF;20230308;08/03/2023;0.1430754727210662
PR-4119905-3E9312D11BAF41CBB836412CEC2683C9;20230504;04/05/2023;0.1448393068103407
PR-4119905-FCFFBA37F818452F9290396836B4386B;20230504;08/03/2023;0.1455630481028058
PR-4119905-76EB6157DA7F450D812C086CB74789AA;20230504;24/06/2023;0.1456612542568752
PR-4119905-349A8AB4C85B4F9D9106EEE1DA878A6C;20230504;04/05/2023;0.1458259769098358
PR-4119905-A2BFBD4EE1C04F55A365ED448F0DB6FC;20230308;08/03/2023;0.1459547214059052
PR-4119905-D29BB24AED454F48AFA2A6B1995A322A;20230504;04/05/2023;0.146269576849459
PR-4119905-1C625DCCB1BC454A8B625B65F4F0B264;20230504;04/05/2023;0.1462969224643186
PR-4119905-994341F3E9FC4B20B26A18BEDD1E1FDE;20230504;04/05/2023;0.1463044702134421
PR-4119905-7B867130AB8942F7B3CF3DDE30103356;20230504;04/05/2023;0.1465080613306021
PR-4119905-19AE87C21B134CFF9DE14C62875A443C;20230504;04/05/2023;0.1466565042377412
PR-4119905-08664CB2E39D4D41917D8834FE512025;20230504;10/01/2023;0.1470927730344543
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230624;22/01/2022;0.14792991702288208
PR-4119905-F9DF7B03333F431EA9F4BE883A95DA6A;20230504;04/05/2023;0.1488116555351427
PR-4119905-4DDA53DAC30548B4B32882C927ACD481;20230504;04/05/2023;0.1489622700372295
PR-4119905-CFEA67B798C54A35BD012A76C8A5FD9E;20230504;04/05/2023;0.1490191254452685
PR-4119905-C2D646B9A4874609979B993B3463BA4A;20230504;04/05/2023;0.1491539719384721
PR-4119905-361B07E602F2437A8768508981D1131D;20230504;04/05/2023;0.1498004712888399
PR-4119905-B6E63A0F26354819828F5BDED45A2A25;20230504;04/05/2023;0.1498442312174566
PR-4119905-3FEE3E5665494976AA6EBD17FC0D089D;20230308;08/03/2023;0.1501297870684059
PR-4119905-469B5D7C7C2C4160A4EC9B520E711253;20230504;08/03/2023;0.1505114256609326
PR-4119905-5760773A55AB477EAFD70052742F16FF;20230504;22/07/2023;0.1514430529267803
PR-4119905-995629D5931B472FB721DD4B0A8FEDE8;20230308;08/03/2023;0.1515386438290784
PR-4119905-BF0FF1296FDC43119FFA9919E0E40662;20230308;04/05/2023;0.1515766472039921
PR-4119905-15F454A429B84EC493D85317BB4147DE;20230504;22/01/2022;0.1519269274235943
PR-4119905-0CEF05241D8A44DEAAF12553B8E7BBB6;20230504;04/05/2023;0.1519875464945173
PR-4119905-6B3C7CBF3A5A40C2BF8E9831839224B7;20230504;04/05/2023;0.152057455632137
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230704;22/01/2022;0.15261876211876174
PR-4119905-C394963E8CA44A068B80DDD500D8E93D;20230504;04/05/2023;0.1528594833157897
PR-4119905-5F6CEB68F7B8452E8F790945B29CC5C9;20230504;11/03/2023;0.1531815794132324
PR-4119905-B08E101F79C04D18BA3308F6D27F1A9D;20230504;04/05/2023;0.1532634792163186
PR-4119905-E711D94DB8DF4617A2B4E2CA7FFD0CC5;20230504;04/05/2023;0.1533605936070356
PR-4119905-2E81D6AE47CE4F358778623F5692FECE;20230504;04/05/2023;0.1540174667693441
PR-4119905-A5DB37404D7A410B9623E269B378E8B4;20230504;04/05/2023;0.1541456484792996
PR-4119905-CAC20991E36C48A78EA7FDC79B31882C;20230504;04/05/2023;0.154212098249379
PR-4119905-1E63B45CB24647EDBAFF9CFA39E0A055;20230504;04/05/2023;0.1546165520965531
PR-4119905-9DF3987468B34B7D89330807985163AA;20230504;22/01/2022;0.1546421635909657
PR-4119905-8022529567484984A05149D2C9481B7A;20230504;08/03/2023;0.1556779957823502
PR-4119905-FA5C49BBCD84497295573365BE51A92A;20230504;04/05/2023;0.1561673369534431
PR-4119905-3843512663764EA9BFAB5C319BBE0190;20230504;04/05/2023;0.1563857418805981
PR-4119905-59E5F0D769954336A08647C1998A2F24;20230504;08/03/2023;0.1567952736766358
PR-4119905-2B802FEB4EC44F87A3B97C4F000C708C;20230504;04/05/2023;0.1574066213417062
PR-4119905-7843ABA9BCF74B7194080BE66022BC94;20230504;04/05/2023;0.157480296768275
PR-4119905-ED622FE4AE1A40D8A47E53BA07E753D6;20230504;04/05/2023;0.1583231588079244
PR-4119905-53AED0B537E64E8386E520CE20B340AD;20230504;08/03/2023;0.1585636787090784
PR-4119905-B47F3BD1910D42B193D7897E5BC958C2;20230308;08/03/2023;0.1588039383937796
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230702;27/07/2023;0.15903544708624323
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230722;09/03/2023;0.15904963914053458
PR-4119905-7FB3618892B144DCADC2EE9D1C35F219;20230504;04/05/2023;0.1595250664143551
PR-4119905-F97499F77516461A95F864172D17CB29;20230504;04/05/2023;0.159582857024189
PR-4119905-749C080FF1C24E0C924116B41AE0340C;20230504;04/05/2023;0.1596652875289962
PR-4119905-FEBC795398C44E569D33B31C8BA50A63;20230504;04/05/2023;0.1599904646763334
PR-4119905-4E0D7633DC1E4E4F9AD6BEA1820CAFEE;20230504;04/05/2023;0.1606733442026263
PR-4119905-7CCE904E005F416F9B58308694FA05AF;20230504;09/03/2023;0.1609176885276199
PR-4119905-28972073FA82474E830977C1C3A5213D;20230308;08/03/2023;0.160955150332925
RS-4318002-01E606EDB47A49BD8EEA2ACADE463ABF;20230717;29/07/2023;0.16103612983732724
PR-4119905-01CA69A1CC5C49B3A82E1A0CB6BE8FAD;20230721;04/05/2023;0.1610726182333033
PR-4119905-1BAED468C8774F738422B7CBE6794986;20230504;08/03/2023;0.1612504420931401
PR-4119905-DC653BB2DFA54A498BF91ACB9B239710;20230504;10/01/2023;0.1615401651254873
PR-4119905-58B21248A3384A2EAE09FFA7F6E0534D;20230504;04/05/2023;0.1616220197222298
RS-4318002-79B3EF8D9D0A4380861F0C9908E4A276;20220823;22/01/2022;0.16170212843369844
PR-4119905-021C7BF3691D461AA47AD3D84B0C4D2A;20230504;04/05/2023;0.1623256172390958
PR-4119905-8CA02DBC0CDE4075881B6CCF31EBB6A3;20230504;04/05/2023;0.1628118707221306
PR-4119905-6277379F45614CCAB819A0B05314542C;20230504;04/05/2023;0.1631753988694079
